,Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
137646,13.08.2011 21:30:00,984.14,15.86,290.34,14.53,91.8,18.05,16.57,1.48,10.54,16.83,1178.65,1.79,2.56,234.1
137652,13.08.2011 22:30:00,984.32,15.27,289.74,14.16,93.1,17.38,16.18,1.2,10.29,16.44,1181.46,1.22,1.48,227.6
137658,13.08.2011 23:30:00,984.05,15.07,289.56,14.29,95.1,17.16,16.31,0.84,10.38,16.58,1181.89,1.02,1.44,201.4
137664,14.08.2011 00:30:00,983.93,15.0,289.5,14.37,96.0,17.08,16.4,0.68,10.43,16.66,1181.99,0.58,0.88,225.1
137670,14.08.2011 01:30:00,983.57,14.92,289.45,14.27,95.9,16.99,16.29,0.7,10.37,16.57,1181.93,0.98,1.44,216.4
137676,14.08.2011 02:30:00,983.06,14.89,289.46,14.13,95.2,16.96,16.14,0.81,10.28,16.42,1181.51,0.65,0.92,190.7
137682,14.08.2011 03:30:00,982.75,14.61,289.21,14.14,97.0,16.65,16.15,0.5,10.29,16.44,1182.28,1.16,1.48,216.3
137688,14.08.2011 04:30:00,982.57,14.77,289.38,14.27,96.8,16.83,16.29,0.54,10.38,16.58,1181.34,0.81,1.52,152.1
137694,14.08.2011 05:30:00,982.36,14.66,289.29,14.16,96.8,16.71,16.17,0.53,10.3,16.46,1181.59,1.13,1.68,181.9
137700,14.08.2011 06:30:00,982.12,15.05,289.7,14.42,96.0,17.13,16.45,0.69,10.48,16.75,1179.58,0.86,1.28,214.4
137706,14.08.2011 07:30:00,981.87,18.29,292.98,15.6,84.3,21.05,17.75,3.31,11.32,18.07,1165.58,1.3,2.16,151.3
137712,14.08.2011 08:30:00,981.5,19.87,294.6,16.3,79.9,23.23,18.56,4.67,11.85,18.91,1158.49,2.64,4.6,174.2
137718,14.08.2011 09:30:00,981.21,21.76,296.52,16.45,71.8,26.1,18.74,7.36,11.96,19.1,1150.64,2.9,4.76,170.0
137724,14.08.2011 10:30:00,980.81,23.08,297.89,16.06,64.64,28.28,18.28,10.0,11.67,18.63,1145.25,4.93,7.08,213.8
137730,14.08.2011 11:30:00,980.48,23.82,298.66,15.83,60.93,29.57,18.01,11.55,11.51,18.37,1142.12,5.21,7.88,208.7
137736,14.08.2011 12:30:00,980.29,24.09,298.95,15.92,60.29,30.05,18.12,11.93,11.58,18.48,1140.82,3.67,5.24,189.9
137742,14.08.2011 13:30:00,980.2,24.32,299.19,15.41,57.57,30.47,17.54,12.93,11.21,17.89,1140.09,5.45,7.8,205.5
137748,14.08.2011 14:30:00,979.75,24.37,299.28,15.68,58.39,30.56,17.84,12.71,11.41,18.21,1139.23,3.4,7.0,181.3
137754,14.08.2011 15:30:00,979.06,25.08,300.05,15.7,56.05,31.88,17.87,14.01,11.43,18.25,1135.7,5.02,7.42,189.3
137760,14.08.2011 16:30:00,979.13,24.61,299.57,16.22,59.58,31.0,18.47,12.53,11.82,18.86,1137.31,3.93,7.12,224.2
137766,14.08.2011 17:30:00,980.18,19.16,294.0,17.55,90.4,22.23,20.1,2.13,12.85,20.5,1159.04,2.18,3.04,190.3
137772,14.08.2011 18:30:00,980.64,18.64,293.44,17.23,91.5,21.52,19.69,1.83,12.58,20.08,1161.83,1.17,2.02,76.8
137778,14.08.2011 19:30:00,981.76,18.55,293.25,16.11,85.7,21.4,18.34,3.06,11.7,18.68,1164.14,1.5,3.92,269.1
137784,14.08.2011 20:30:00,982.46,17.31,291.94,15.41,88.6,19.79,17.54,2.26,11.18,17.85,1170.31,1.37,2.08,254.3
137790,14.08.2011 21:30:00,983.14,17.48,292.06,15.26,86.8,20.01,17.36,2.64,11.06,17.66,1170.52,1.91,3.04,261.5
137796,14.08.2011 22:30:00,983.57,16.95,291.49,14.83,87.3,19.35,16.89,2.46,10.75,17.17,1173.39,0.64,1.4,235.2
137802,14.08.2011 23:30:00,983.96,16.47,290.97,14.21,86.5,18.76,16.23,2.53,10.32,16.5,1176.1,1.88,2.72,250.1
137808,15.08.2011 00:30:00,984.45,15.83,290.29,13.53,86.2,18.01,15.53,2.49,9.87,15.77,1179.62,2.37,3.16,250.5
137814,15.08.2011 01:30:00,984.93,14.94,289.35,13.21,89.4,17.01,15.21,1.8,9.66,15.44,1183.99,1.85,2.2,246.2
137820,15.08.2011 02:30:00,985.01,14.25,288.65,13.22,93.5,16.27,15.21,1.06,9.66,15.44,1186.93,1.86,2.72,238.5
137826,15.08.2011 03:30:00,985.06,13.43,287.83,12.79,95.9,15.43,14.79,0.63,9.39,15.02,1190.58,0.96,1.52,210.9
137832,15.08.2011 04:30:00,985.16,12.96,287.35,12.74,98.6,14.96,14.75,0.21,9.37,14.97,1192.68,1.51,2.04,225.2
137838,15.08.2011 05:30:00,985.67,12.43,286.77,12.31,99.2,14.45,14.33,0.12,9.09,14.54,1195.7,0.41,0.82,168.0
137844,15.08.2011 06:30:00,985.78,12.72,287.05,12.58,99.1,14.73,14.59,0.13,9.26,14.8,1194.5,1.0,1.68,198.0
137850,15.08.2011 07:30:00,986.16,14.18,288.49,13.93,98.4,16.2,15.94,0.26,10.11,16.16,1188.28,1.07,1.68,161.4
137856,15.08.2011 08:30:00,986.83,15.01,289.26,13.59,91.2,17.09,15.59,1.5,9.88,15.79,1185.83,0.54,1.36,102.0
137862,15.08.2011 09:30:00,987.29,16.86,291.08,13.62,81.2,19.24,15.62,3.62,9.9,15.82,1178.8,1.14,2.62,2.56
137868,15.08.2011 10:30:00,987.42,17.42,291.63,13.23,76.4,19.93,15.23,4.7,9.65,15.42,1176.86,0.86,1.98,310.1
137874,15.08.2011 11:30:00,987.65,18.39,292.59,13.53,73.3,21.18,15.53,5.66,9.84,15.72,1173.09,1.47,3.76,0.88
137880,15.08.2011 12:30:00,988.27,18.63,292.78,12.68,68.31,21.51,14.69,6.82,9.3,14.86,1173.24,1.32,2.4,289.9
137886,15.08.2011 13:30:00,988.5,18.93,293.06,12.57,66.55,21.91,14.58,7.33,9.23,14.75,1172.36,2.37,3.72,25.45
137892,15.08.2011 14:30:00,988.66,20.27,294.39,11.48,56.98,23.81,13.57,10.24,8.58,13.73,1167.65,1.89,3.56,42.56
137898,15.08.2011 15:30:00,988.76,20.73,294.84,12.02,57.4,24.5,14.06,10.44,8.89,14.22,1165.72,0.82,2.32,113.7
137904,15.08.2011 16:30:00,988.91,21.13,295.23,10.86,51.86,25.11,13.02,12.09,8.23,13.17,1164.78,1.1,1.92,248.0
137910,15.08.2011 17:30:00,988.88,22.17,296.28,10.99,49.09,26.76,13.14,13.62,8.3,13.28,1160.59,0.6,1.52,270.3
137916,15.08.2011 18:30:00,989.26,20.47,294.54,9.94,50.79,24.11,12.25,11.86,7.74,12.38,1168.16,0.74,1.16,266.4
137922,15.08.2011 19:30:00,989.75,19.4,293.42,10.27,55.47,22.56,12.52,10.05,7.9,12.65,1172.89,0.92,1.56,8.19
137928,15.08.2011 20:30:00,990.52,17.21,291.16,10.74,65.68,19.67,12.92,6.75,8.15,13.04,1182.48,0.75,1.8,219.9
137934,15.08.2011 21:30:00,990.9,16.2,290.12,10.4,68.46,18.44,12.63,5.82,7.96,12.74,1187.2,1.87,2.56,230.0
137940,15.08.2011 22:30:00,991.35,15.24,289.12,11.28,77.2,17.34,13.39,3.95,8.44,13.51,1191.34,0.84,1.24,189.6
137946,15.08.2011 23:30:00,991.75,14.55,288.39,11.52,82.0,16.59,13.6,2.99,8.58,13.72,1194.59,0.92,1.92,172.6
137952,16.08.2011 00:30:00,992.09,14.27,288.08,11.8,85.1,16.29,13.86,2.43,8.74,13.97,1196.04,0.53,1.1,316.7
137958,16.08.2011 01:30:00,992.23,14.33,288.13,11.25,81.7,16.35,13.36,2.99,8.42,13.47,1196.19,0.37,0.92,44.91
137964,16.08.2011 02:30:00,992.43,13.58,287.36,11.0,84.4,15.58,13.15,2.43,8.28,13.25,1199.67,0.36,0.8,64.13
137970,16.08.2011 03:30:00,992.49,12.46,286.24,10.98,90.7,14.48,13.13,1.35,8.27,13.23,1204.45,0.73,1.64,287.3
137976,16.08.2011 04:30:00,992.76,11.45,285.2,9.97,90.6,13.54,12.27,1.27,7.72,12.36,1209.45,1.29,1.72,231.3
137982,16.08.2011 05:30:00,992.55,11.12,284.89,10.05,93.1,13.25,12.33,0.91,7.77,12.43,1210.57,0.8,1.16,216.0
137988,16.08.2011 06:30:00,992.52,12.11,285.88,10.29,88.6,14.15,12.53,1.61,7.89,12.63,1206.24,0.61,0.9,68.82
137994,16.08.2011 07:30:00,992.46,12.99,286.77,11.1,88.3,14.99,13.23,1.75,8.34,13.34,1202.13,0.76,1.36,161.7
138000,16.08.2011 08:30:00,992.41,15.12,288.91,11.81,80.6,17.21,13.87,3.34,8.74,13.98,1192.9,0.6,1.28,218.4
138006,16.08.2011 09:30:00,992.7,16.9,290.67,11.2,69.09,19.28,13.32,5.96,8.39,13.42,1186.18,0.78,2.08,136.4
138012,16.08.2011 10:30:00,992.41,18.14,291.94,11.77,66.33,20.85,13.83,7.02,8.72,13.94,1180.55,1.46,3.12,99.1
138018,16.08.2011 11:30:00,992.09,19.21,293.03,11.98,62.89,22.3,14.02,8.28,8.84,14.14,1175.76,1.36,2.68,76.2
138024,16.08.2011 12:30:00,991.79,20.87,294.72,12.08,57.13,24.71,14.12,10.59,8.9,14.23,1168.73,1.84,3.48,108.2
138030,16.08.2011 13:30:00,991.58,19.82,293.69,11.99,60.61,23.16,14.04,9.12,8.85,14.16,1172.7,2.0,3.0,25.38
138036,16.08.2011 14:30:00,991.66,18.87,292.73,13.4,70.5,21.83,15.39,6.44,9.71,15.52,1176.0,3.24,4.64,24.76
138042,16.08.2011 15:30:00,991.56,18.38,292.25,13.92,75.2,21.17,15.92,5.25,10.05,16.06,1177.62,2.21,3.0,44.66
138048,16.08.2011 16:30:00,991.43,19.16,293.04,13.8,71.1,22.23,15.81,6.42,9.98,15.94,1174.38,1.02,1.88,37.99
138054,16.08.2011 17:30:00,991.2,19.17,293.07,13.42,69.3,22.24,15.41,6.83,9.73,15.55,1174.24,1.2,2.0,42.39
138060,16.08.2011 18:30:00,991.54,18.57,292.44,13.54,72.5,21.42,15.53,5.89,9.8,15.67,1177.0,2.52,3.6,43.5
138066,16.08.2011 19:30:00,991.71,18.07,291.92,13.82,76.2,20.76,15.82,4.94,9.98,15.95,1179.1,1.38,1.88,32.6
138072,16.08.2011 20:30:00,992.41,17.31,291.1,13.96,80.7,19.79,15.97,3.82,10.07,16.09,1182.95,1.25,1.64,7.81
138078,16.08.2011 21:30:00,992.41,16.7,290.49,13.95,83.8,19.04,15.96,3.08,10.06,16.08,1185.45,0.94,1.44,6.28
138084,16.08.2011 22:30:00,992.67,16.27,290.04,14.11,87.0,18.53,16.12,2.41,10.16,16.24,1187.45,0.86,1.12,33.76
138090,16.08.2011 23:30:00,992.57,15.99,289.77,13.63,85.9,18.2,15.63,2.57,9.85,15.75,1188.7,1.59,2.0,232.9
138096,17.08.2011 00:30:00,992.33,15.51,289.31,13.55,88.1,17.65,15.55,2.1,9.8,15.67,1190.43,0.83,1.36,209.4
138102,17.08.2011 01:30:00,992.18,14.64,288.45,13.32,91.8,16.69,15.32,1.37,9.66,15.44,1193.95,1.23,1.72,233.1
138108,17.08.2011 02:30:00,991.9,14.43,288.26,13.21,92.4,16.46,15.21,1.25,9.59,15.33,1194.53,1.1,1.32,215.6
138114,17.08.2011 03:30:00,991.68,14.16,288.01,13.5,95.8,16.18,15.5,0.68,9.78,15.63,1195.26,0.87,1.2,220.0
138120,17.08.2011 04:30:00,991.46,14.24,288.11,13.42,94.8,16.26,15.41,0.85,9.73,15.55,1194.7,0.45,0.76,256.3
138126,17.08.2011 05:30:00,991.51,14.02,287.88,13.31,95.5,16.03,15.31,0.72,9.66,15.44,1195.72,0.58,1.12,200.2
138132,17.08.2011 06:30:00,991.44,14.32,288.19,13.51,94.9,16.34,15.51,0.83,9.79,15.64,1194.29,0.81,1.3,192.4
138138,17.08.2011 07:30:00,991.45,16.13,290.0,14.13,87.9,18.36,16.14,2.22,10.19,16.28,1186.55,0.75,1.68,135.5
138144,17.08.2011 08:30:00,991.57,18.63,292.5,14.66,77.7,21.51,16.71,4.8,10.55,16.85,1176.27,0.73,1.4,120.8
138150,17.08.2011 09:30:00,991.41,20.77,294.66,13.96,65.01,24.56,15.97,8.59,10.08,16.1,1167.85,1.23,2.38,134.6
138156,17.08.2011 10:30:00,991.08,20.87,294.78,11.61,55.37,24.71,13.68,11.03,8.63,13.81,1168.08,1.19,2.04,47.94
138162,17.08.2011 11:30:00,990.9,22.1,296.03,11.15,49.83,26.64,13.28,13.37,8.38,13.4,1163.18,1.07,2.04,47.67
138168,17.08.2011 12:30:00,990.5,24.34,298.31,11.38,44.18,30.5,13.48,17.03,8.51,13.6,1153.87,2.11,3.84,163.5
138174,17.08.2011 13:30:00,990.1,23.75,297.76,11.14,45.05,29.44,13.26,16.18,8.37,13.4,1155.79,1.46,2.68,66.91
138180,17.08.2011 14:30:00,989.82,23.48,297.51,11.35,46.43,28.97,13.45,15.52,8.5,13.59,1156.43,0.82,2.0,25.09
138186,17.08.2011 15:30:00,989.57,24.66,298.71,10.6,41.16,31.09,12.8,18.29,8.08,12.93,1151.84,2.27,2.98,207.6
138192,17.08.2011 16:30:00,989.11,24.87,298.96,11.08,41.96,31.48,13.21,18.27,8.35,13.36,1150.31,0.9,2.34,38.92
138198,17.08.2011 17:30:00,988.9,25.48,299.59,10.59,39.17,32.65,12.79,19.86,8.08,12.93,1147.9,1.3,2.24,155.0
138204,17.08.2011 18:30:00,988.86,24.1,298.21,10.51,42.31,30.07,12.72,17.35,8.04,12.86,1153.21,0.6,1.04,241.4
138210,17.08.2011 19:30:00,989.23,21.88,295.96,11.41,51.36,26.29,13.5,12.79,8.53,13.65,1161.98,0.34,0.72,15.71
138216,17.08.2011 20:30:00,989.56,19.22,293.26,12.21,63.82,22.31,14.24,8.07,9.0,14.39,1172.61,0.54,0.92,61.74
138222,17.08.2011 21:30:00,989.73,18.25,292.27,11.93,66.55,21.0,13.98,7.02,8.83,14.12,1176.84,0.3,0.52,208.8
138228,17.08.2011 22:30:00,989.78,17.84,291.86,11.7,67.26,20.46,13.76,6.7,8.7,13.91,1178.65,1.7,2.52,229.8
138234,17.08.2011 23:30:00,990.08,17.13,291.12,11.77,70.7,19.57,13.83,5.73,8.74,13.97,1181.86,1.28,1.96,213.9
138240,18.08.2011 00:30:00,989.57,16.0,290.03,12.31,78.7,18.21,14.33,3.88,9.06,14.48,1185.64,0.44,0.88,39.63
138246,18.08.2011 01:30:00,989.48,16.18,290.22,11.61,74.3,18.42,13.69,4.73,8.65,13.83,1185.09,0.25,0.48,247.7
138252,18.08.2011 02:30:00,989.56,15.25,289.28,11.92,80.5,17.36,13.97,3.38,8.83,14.12,1188.88,1.4,2.04,183.1
138258,18.08.2011 03:30:00,989.35,14.9,288.94,11.93,82.4,16.97,13.98,2.99,8.84,14.13,1190.06,1.17,2.2,208.2
138264,18.08.2011 04:30:00,989.41,15.03,289.07,11.93,81.7,17.11,13.98,3.13,8.84,14.13,1189.6,0.88,1.3,208.1
138270,18.08.2011 05:30:00,989.56,14.98,289.01,12.3,84.0,17.06,14.33,2.73,9.06,14.48,1189.83,0.29,0.6,356.6
138276,18.08.2011 06:30:00,989.78,14.39,288.4,12.5,88.4,16.42,14.51,1.9,9.17,14.66,1192.45,0.52,0.76,241.7
138282,18.08.2011 07:30:00,989.71,17.3,291.32,13.25,77.1,19.78,15.25,4.53,9.64,15.41,1180.08,0.91,1.84,162.0
138288,18.08.2011 08:30:00,989.62,20.13,294.17,13.74,66.68,23.61,15.74,7.87,9.95,15.91,1168.37,0.81,1.52,168.5
138294,18.08.2011 09:30:00,989.33,22.62,296.69,14.38,59.66,27.5,16.41,11.09,10.38,16.58,1157.9,0.73,1.4,27.51
138300,18.08.2011 10:30:00,989.11,23.75,297.84,14.95,57.81,29.44,17.02,12.42,10.77,17.21,1152.96,0.66,1.2,46.22
138306,18.08.2011 11:30:00,988.75,25.45,299.58,14.97,52.3,32.59,17.04,15.54,10.79,17.24,1145.97,1.76,2.86,66.38
138312,18.08.2011 12:30:00,988.16,27.08,301.26,15.59,49.46,35.88,17.74,18.13,11.25,17.96,1138.75,1.96,3.88,65.13
138318,18.08.2011 13:30:00,987.38,27.36,301.61,15.7,48.98,36.47,17.86,18.61,11.33,18.09,1136.73,1.95,3.08,44.31
138324,18.08.2011 14:30:00,986.78,28.84,303.15,15.02,43.03,39.75,17.1,22.64,10.85,17.33,1130.8,3.37,5.36,187.2
138330,18.08.2011 15:30:00,986.42,28.92,303.26,15.66,44.62,39.93,17.82,22.11,11.31,18.06,1129.78,2.35,3.84,200.3
138336,18.08.2011 16:30:00,986.13,28.9,303.27,16.16,46.13,39.88,18.4,21.49,11.69,18.66,1129.26,2.56,3.96,227.9
138342,18.08.2011 17:30:00,985.98,25.75,300.12,17.34,59.78,33.17,19.83,13.34,12.61,20.11,1140.36,3.57,4.98,8.7
138348,18.08.2011 18:30:00,985.73,25.28,299.67,17.37,61.6,32.26,19.87,12.39,12.64,20.16,1141.84,1.95,2.6,350.7
138354,18.08.2011 19:30:00,985.68,24.38,298.77,17.28,64.62,30.57,19.76,10.82,12.56,20.04,1145.29,0.2,0.64,311.3
138360,18.08.2011 20:30:00,985.86,22.96,297.33,17.42,71.0,28.07,19.93,8.14,12.67,20.22,1150.92,0.48,1.0,328.7
138366,18.08.2011 21:30:00,986.0,21.99,296.34,17.29,74.7,26.47,19.77,6.7,12.57,20.05,1154.94,1.06,1.4,219.0
138372,18.08.2011 22:30:00,985.79,21.37,295.74,15.85,70.8,25.48,18.04,7.44,11.46,18.3,1157.89,0.5,1.18,209.4
138378,18.08.2011 23:30:00,985.71,20.93,295.3,15.91,73.0,24.8,18.11,6.7,11.51,18.37,1159.5,1.12,1.74,212.1
138384,19.08.2011 00:30:00,986.37,20.76,295.08,15.49,71.8,24.54,17.62,6.92,11.19,17.87,1161.17,0.82,1.44,345.1
138390,19.08.2011 01:30:00,987.13,20.06,294.31,14.77,71.6,23.51,16.83,6.68,10.67,17.05,1165.2,1.23,2.76,266.7
138396,19.08.2011 02:30:00,987.19,18.04,292.28,15.24,83.7,20.72,17.35,3.38,11.0,17.57,1173.12,1.18,1.68,190.4
138402,19.08.2011 03:30:00,985.93,16.92,291.26,15.46,91.1,19.31,17.59,1.72,11.17,17.84,1176.03,0.43,1.04,200.4
138408,19.08.2011 04:30:00,985.75,16.67,291.02,14.88,89.2,19.0,16.95,2.05,10.77,17.2,1177.12,2.09,3.06,207.1
138414,19.08.2011 05:30:00,985.19,15.96,290.36,15.37,96.3,18.16,17.49,0.67,11.12,17.75,1179.09,0.93,1.8,149.1
138420,19.08.2011 06:30:00,985.11,16.11,290.51,15.55,96.5,18.34,17.7,0.64,11.25,17.96,1178.29,0.98,1.7,191.3
138426,19.08.2011 07:30:00,985.51,16.7,291.07,15.96,95.4,19.04,18.16,0.88,11.55,18.43,1176.15,2.18,3.08,194.3
138432,19.08.2011 08:30:00,986.39,18.65,292.96,17.51,93.1,21.53,20.05,1.49,12.74,20.32,1168.5,1.03,1.68,205.1
138438,19.08.2011 09:30:00,986.67,21.46,295.75,18.14,81.4,25.62,20.86,4.77,13.25,21.14,1157.32,2.23,3.8,145.7
138444,19.08.2011 10:30:00,986.36,22.71,297.03,17.53,72.6,27.65,20.07,7.58,12.76,20.35,1152.41,2.41,4.12,262.6
138450,19.08.2011 11:30:00,986.27,20.02,294.34,16.6,80.7,23.45,18.92,4.53,12.02,19.19,1163.4,2.17,4.52,250.8
138456,19.08.2011 12:30:00,987.86,16.31,290.48,14.89,91.3,18.57,16.96,1.62,10.75,17.17,1181.12,5.16,7.16,239.8
138462,19.08.2011 13:30:00,988.24,17.97,292.12,16.11,88.9,20.63,18.34,2.29,11.63,18.56,1174.21,2.03,4.36,249.1
138468,19.08.2011 14:30:00,989.04,18.88,292.96,16.58,86.5,21.84,18.9,2.95,11.97,19.1,1171.26,1.25,2.08,232.7
138474,19.08.2011 15:30:00,989.62,19.19,293.22,16.29,83.3,22.27,18.55,3.72,11.74,18.75,1170.86,2.37,4.24,267.1
138480,19.08.2011 16:30:00,990.62,19.77,293.72,14.06,69.62,23.09,16.07,7.01,10.16,16.23,1170.85,1.71,4.8,279.2
138486,19.08.2011 17:30:00,990.99,19.38,293.3,12.79,65.66,22.54,14.8,7.74,9.34,14.93,1173.42,1.64,4.78,273.2
138492,19.08.2011 18:30:00,991.84,17.9,291.74,12.04,68.56,20.54,14.08,6.46,8.88,14.2,1180.73,1.21,3.2,273.7
138498,19.08.2011 19:30:00,992.33,16.81,290.61,11.34,70.1,19.17,13.44,5.73,8.47,13.55,1186.05,0.75,2.2,278.2
138504,19.08.2011 20:30:00,993.27,15.88,289.6,10.25,69.19,18.07,12.5,5.57,7.87,12.59,1191.42,1.54,2.16,247.9
138510,19.08.2011 21:30:00,993.65,15.2,288.89,9.67,69.51,17.3,12.02,5.27,7.56,12.1,1194.91,1.2,2.12,253.0
138516,19.08.2011 22:30:00,994.01,14.0,287.65,9.75,75.5,16.01,12.09,3.92,7.6,12.16,1200.31,1.92,2.52,239.6
138522,19.08.2011 23:30:00,994.58,12.62,286.22,9.83,83.1,14.63,12.16,2.47,7.64,12.22,1206.77,0.48,1.16,191.2
138528,20.08.2011 00:30:00,994.95,12.78,286.35,9.61,81.0,14.78,11.97,2.81,7.52,12.04,1206.63,2.01,3.12,240.6
138534,20.08.2011 01:30:00,995.12,10.96,284.52,9.42,90.2,13.11,11.82,1.28,7.42,11.88,1214.64,0.87,1.8,197.2
138540,20.08.2011 02:30:00,995.25,10.52,284.07,9.28,92.0,12.73,11.71,1.02,7.35,11.77,1216.73,1.37,2.28,207.1
138546,20.08.2011 03:30:00,995.35,9.75,283.29,9.04,95.3,12.09,11.52,0.57,7.23,11.57,1220.26,0.83,1.36,201.9
138552,20.08.2011 04:30:00,995.56,9.37,282.89,8.86,96.6,11.78,11.38,0.4,7.14,11.43,1222.23,0.76,1.48,207.0
138558,20.08.2011 05:30:00,995.91,8.89,282.38,8.47,97.2,11.41,11.09,0.32,6.95,11.13,1224.87,0.85,1.32,204.3
138564,20.08.2011 06:30:00,996.3,8.55,282.01,8.28,98.2,11.15,10.95,0.2,6.86,10.99,1226.9,1.55,2.56,170.1
138570,20.08.2011 07:30:00,996.53,9.3,282.74,9.06,98.4,11.73,11.54,0.19,7.23,11.58,1223.65,1.27,1.9,191.3
138576,20.08.2011 08:30:00,996.62,13.68,287.12,11.47,86.5,15.68,13.56,2.12,8.51,13.61,1204.14,1.19,1.9,168.5
138582,20.08.2011 09:30:00,996.76,16.91,290.34,11.36,69.77,19.3,13.46,5.83,8.44,13.51,1190.95,1.43,2.72,128.9
138588,20.08.2011 10:30:00,996.47,19.08,292.54,10.59,57.82,22.12,12.79,9.33,8.02,12.83,1182.07,1.47,3.24,127.5
138594,20.08.2011 11:30:00,996.16,19.68,293.16,10.21,54.31,22.96,12.47,10.49,7.82,12.52,1179.42,1.6,3.02,67.05
138600,20.08.2011 12:30:00,995.65,20.65,294.18,9.59,49.05,24.38,11.96,12.42,7.5,12.01,1175.14,2.95,6.0,135.7
138606,20.08.2011 13:30:00,995.29,21.35,294.91,10.41,49.65,25.45,12.64,12.81,7.93,12.7,1171.63,3.62,5.96,134.1
138612,20.08.2011 14:30:00,994.72,23.04,296.65,10.08,43.83,28.21,12.36,15.84,7.77,12.43,1164.4,1.62,3.48,192.7
138618,20.08.2011 15:30:00,994.27,23.85,297.5,10.43,42.72,29.62,12.65,16.97,7.95,12.73,1160.56,1.11,2.48,344.2
138624,20.08.2011 16:30:00,994.03,23.23,296.9,10.52,44.6,28.53,12.73,15.81,8.0,12.8,1162.67,2.84,4.16,23.17
138630,20.08.2011 17:30:00,993.91,23.3,296.98,11.01,45.9,28.65,13.15,15.5,8.27,13.23,1162.07,2.02,3.08,24.84
138636,20.08.2011 18:30:00,993.7,22.5,296.19,11.12,48.52,27.3,13.25,14.05,8.33,13.33,1164.93,1.49,2.0,9.26
138642,20.08.2011 19:30:00,994.04,20.84,294.5,11.79,56.14,24.67,13.85,10.82,8.71,13.93,1171.64,0.62,1.02,57.69
138648,20.08.2011 20:30:00,994.7,18.42,292.02,12.5,68.39,21.22,14.52,6.71,9.13,14.59,1181.85,0.76,0.96,51.02
138654,20.08.2011 21:30:00,994.39,16.95,290.58,12.52,75.1,19.35,14.53,4.82,9.14,14.61,1187.45,0.48,0.64,244.9
138660,20.08.2011 22:30:00,994.16,16.2,289.85,11.53,73.8,18.44,13.61,4.83,8.56,13.69,1190.67,1.81,2.48,209.3
138666,20.08.2011 23:30:00,994.09,14.78,288.43,11.37,80.0,16.84,13.47,3.37,8.47,13.55,1196.53,0.21,0.52,24.58
138672,21.08.2011 00:30:00,993.98,13.74,287.4,10.89,82.9,15.74,13.05,2.69,8.21,13.13,1200.92,0.68,1.52,159.0
138678,21.08.2011 01:30:00,993.64,12.28,285.96,10.54,89.1,14.31,12.75,1.56,8.02,12.83,1206.78,1.19,1.88,177.7
138684,21.08.2011 02:30:00,993.55,11.62,285.31,10.42,92.3,13.7,12.64,1.05,7.95,12.72,1209.53,0.74,1.2,135.6
138690,21.08.2011 03:30:00,993.23,11.22,284.93,10.29,94.0,13.34,12.54,0.8,7.89,12.62,1210.88,0.88,1.56,166.6
138696,21.08.2011 04:30:00,992.93,11.17,284.91,10.15,93.4,13.29,12.42,0.88,7.81,12.5,1210.79,1.45,2.52,210.6
138702,21.08.2011 05:30:00,992.42,10.63,284.41,9.82,94.7,12.82,12.14,0.68,7.65,12.24,1212.59,1.04,1.6,211.6
138708,21.08.2011 06:30:00,992.66,11.79,285.55,10.16,89.7,13.85,12.42,1.43,7.82,12.52,1207.82,1.17,2.08,175.0
138714,21.08.2011 07:30:00,992.79,12.65,286.4,10.55,87.0,14.66,12.75,1.91,8.03,12.84,1204.19,1.09,1.64,203.5
138720,21.08.2011 08:30:00,992.33,13.5,287.29,11.16,85.7,15.5,13.28,2.22,8.37,13.38,1199.82,0.96,1.58,214.0
138726,21.08.2011 09:30:00,992.37,16.49,290.29,11.85,74.0,18.79,13.9,4.88,8.76,14.01,1187.2,0.99,1.84,127.7
138732,21.08.2011 10:30:00,992.33,18.89,292.69,13.26,69.78,21.86,15.25,6.61,9.62,15.37,1176.78,1.14,1.72,192.1
138738,21.08.2011 11:30:00,992.18,21.19,295.01,14.9,67.33,25.2,16.97,8.23,10.71,17.1,1166.64,0.8,1.32,195.7
138744,21.08.2011 12:30:00,991.59,23.62,297.5,17.09,66.83,29.21,19.52,9.69,12.34,19.69,1155.26,0.69,1.62,117.9
138750,21.08.2011 13:30:00,991.65,24.54,298.41,18.77,70.3,30.87,21.7,9.17,13.73,21.88,1150.8,0.5,2.0,186.4
138756,21.08.2011 14:30:00,991.31,24.6,298.5,17.34,63.99,30.98,19.82,11.16,12.53,20.0,1151.0,1.4,2.2,230.7
138762,21.08.2011 15:30:00,990.6,24.27,298.23,17.15,64.5,30.37,19.59,10.78,12.39,19.78,1151.55,2.66,3.96,194.0
138768,21.08.2011 16:30:00,989.96,25.53,299.55,17.12,59.73,32.74,19.56,13.19,12.38,19.76,1145.96,4.03,6.0,186.2
138774,21.08.2011 17:30:00,989.83,25.99,300.03,17.68,60.2,33.65,20.26,13.39,12.83,20.46,1143.74,1.7,2.92,185.9
138780,21.08.2011 18:30:00,989.7,24.97,299.01,17.67,63.93,31.67,20.25,11.42,12.82,20.46,1147.5,2.19,2.8,218.5
